dataset,split,point_index,t,measured_X,measured_Y,measured_Z,ref_X,ref_Y,ref_Z
Dataset01,all,0,0.0,7.466708,10.220384,-7.4575476,7.466708,10.220384,-7.4575476
Dataset01,all,1,0.1,7.4876051,10.200182,-7.4532373,7.4876051,10.200182,-7.4532373
Dataset01,all,2,0.2,7.5071432,10.187135,-7.4377102,7.507154409946949,10.18707598074288,-7.437802723718134
Dataset01,all,3,0.30000000000000004,7.5311559,10.171395,-7.4263635,7.531055101640252,10.171426912395633,-7.426314460555831
Dataset01,all,4,0.4,7.5565977,10.154774,-7.416108,7.556480040824491,10.154826079802769,-7.416035959643115
Dataset01,all,5,0.5,7.5782664,10.143231,-7.4010131,7.578304451890895,10.143098500531048,-7.401122123254801
Dataset01,all,6,0.6000000000000001,7.6021716,10.132869,-7.4007232,7.602127097495983,10.132713141633438,-7.400283028014229
Dataset01,all,7,0.7000000000000001,7.6190225,10.106461,-7.3871756,7.6192463794621075,10.106931004527867,-7.387285366135009
Dataset01,all,8,0.8,7.6399425,10.08665,-7.3686901,7.639986998262678,10.086820379716693,-7.368993680488697
Dataset01,all,9,0.9,7.6616409,10.073291,-7.355864,7.661641957052536,10.073174804042218,-7.355912873919661
Dataset01,all,10,1.0,7.6770366,10.056938,-7.3379766,7.677284582350101,10.056943444802467,-7.338208980421491
Dataset01,all,11,1.1,7.7061989,10.054847,-7.34665,7.705878610198366,10.054288450615205,-7.345803734685081
Dataset01,all,12,1.2000000000000002,7.7264542,10.032889,-7.33991,7.726504918647622,10.033168480701235,-7.339735153614641
Dataset01,all,13,1.3,7.7456115,10.020229,-7.3241954,7.74571594559521,10.020136653485048,-7.3244288044813075
Dataset01,all,14,1.4000000000000001,7.7671195,10.00457,-7.3030065,7.767119846611059,10.004593853631384,-7.303453602254528
Dataset01,all,15,1.5,7.7900456,9.986649,-7.2882963,7.789984024785803,9.986767089974746,-7.288442748085337
Dataset01,all,16,1.6,7.8095177,9.9696988,-7.2623884,7.8096005935633634,9.969769289419457,-7.2629643599698595
Dataset01,all,17,1.7000000000000002,7.8324473,9.9596755,-7.2461094,7.832386663638815,9.959454096723112,-7.246252700047945
Dataset01,all,18,1.8,7.852428,9.9311022,-7.2358685,7.852488067859196,9.93164953531924,-7.235733054084763
Dataset01,all,19,1.9000000000000001,7.8816227,9.9353622,-7.2479356,7.881304332210199,9.934542892518165,-7.246887489175761
Dataset01,all,20,2.0,7.910454,9.9320966,-7.2566156,7.910165273934078,9.931607859806613,-7.255768629162941
Dataset01,all,21,2.1,7.9363823,9.9266532,-7.2699495,7.936241224919006,9.926313540886825,-7.268999504837062
Dataset01,all,22,2.2,7.9616236,9.9204532,-7.2823162,7.961530035734856,9.920182563862914,-7.281490666450016
Dataset01,all,23,2.3000000000000003,7.9896658,9.9264577,-7.2940853,7.989467720821115,9.925713219535822,-7.293366326071555
Dataset01,all,24,2.4000000000000004,8.0151399,9.9255046,-7.2990502,8.0150615402508,9.925095887186165,-7.298682197751104
Dataset01,all,25,2.5,8.0384141,9.9239481,-7.302917,8.038438451228126,9.923615786466819,-7.302642624984675
Dataset01,all,26,2.6,8.0626274,9.9187685,-7.3120108,8.062615072498934,9.918619101699253,-7.3115503286974635
Dataset01,all,27,2.7,8.0892735,9.9125357,-7.3223097,8.089160601088645,9.912450930630643,-7.321834222292729
Dataset01,all,28,2.8000000000000003,8.1160582,9.901726,-7.3369586,8.115945796192316,9.9018401995147,-7.3363468917347054
Dataset01,all,29,2.9000000000000004,8.1405689,9.8980707,-7.3413408,8.140560491621208,9.897887882282197,-7.341202443950708
Dataset01,all,30,3.0,8.1656494,9.8899199,-7.3452577,8.165622565676127,9.889926792493624,-7.345170664797316
Dataset01,all,31,3.1,8.1911498,9.8876448,-7.3449319,8.191107350779456,9.887416734695917,-7.345029772096922
Dataset01,all,32,3.2,8.2169912,9.8806146,-7.3501508,8.216937923538348,9.880593632066999,-7.350018840081468
Dataset01,all,33,3.3000000000000003,8.235465,9.8585813,-7.3498622,8.235719816402181,9.859189190764273,-7.349959804088588
Dataset01,all,34,3.4000000000000004,9.5682715,9.2924491,-7.265143,9.514336869877337,9.315456202370969,-7.268721546207596
Dataset01,all,35,3.5,9.5682715,9.2924491,-7.265143,9.571955411520014,9.290947373972974,-7.265046880191144
Dataset01,all,36,3.6,8.2846812,9.8215577,-7.3150079,8.343322159006462,9.797369361222685,-7.312713321587406
Dataset01,all,37,3.7,9.5694374,9.2932136,-7.2688344,9.519125113984337,9.31388563326401,-7.270617265563034
Dataset01,all,38,3.8000000000000003,9.5694522,9.2932864,-7.2689013,9.572190358930717,9.29214259301369,-7.2687837495906145
Dataset01,all,39,3.9000000000000004,9.5695659,9.2933483,-7.2689582,9.574238305418968,9.291409466834182,-7.268773394839928
Dataset01,all,40,4.0,9.5695511,9.2932078,-7.2689649,9.57388388902878,9.29142074867099,-7.268796188168477
Dataset01,all,41,4.1000000000000005,9.5694374,9.2931459,-7.268908,9.573366526906023,9.291524262239566,-7.2687579054819675
Dataset01,all,42,4.2,9.5694226,9.2930731,-7.268841,9.572973994993745,9.291606078072153,-7.268705727510435
Dataset01,all,43,4.3,9.5694078,9.293068,-7.2687005,9.572620964284877,9.291737845628658,-7.268581159146353
Dataset01,all,44,4.4,9.5694078,9.293068,-7.2687005,9.572314505580263,9.291864117629919,-7.2685868645376015
Dataset01,all,45,4.5,9.5694226,9.2931408,-7.2687674,9.57205201526518,9.292048482627473,-7.268661563934743
Dataset01,all,46,4.6000000000000005,9.5694078,9.293068,-7.2687005,9.571788160551318,9.292085506402655,-7.268610116034341
Dataset01,all,47,4.7,9.5652708,9.2886583,-7.2655972,9.567594652490037,9.287948398084222,-7.265640862404961
Dataset01,all,48,4.800000000000001,9.566903,9.2896292,-7.2626863,9.568775572014689,9.288773157450349,-7.262723590579046
Dataset01,all,49,4.9,9.5664482,9.2900584,-7.2617224,9.568218143052354,9.289296417049606,-7.26167575989402
